actividad	centro	dni	quien	importe	date	tipo
Mejora del Parque de Miraflores, embaldosado de caminos y arreglo de pavimentos.	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	36500	05/12/2018	Obras(Menor)
Sustitucion de Verja Metalica y Repaso de Muro en el Parque del Tio Jorge	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	17900	05/12/2018	Obras(Menor)
SUMINISTRO DE ARMAMENTO CON DESTINO A LA POLICÍA LOCAL DE ZARAGOZA POR PROCEDIMIENTO ABIERTO, SIMPLIFICADO Y ABREVIADO.	Ayuntamiento		ARMERÍA MARCOS S.C.A.	16384	05/12/2018	Suministros(Abierto Simplificado)
Suministro de tres analizadores en continuo de cloro libre mediante amperometria	Ayuntamiento		MATELCO	14190	04/12/2018	Suministros(Menor)
Suministro bordillo y baldosa hidraulica.	Ayuntamiento		MOSAICOS-PRIETO-SL	3948	04/12/2018	Suministros(Menor)
SUMINISTRO DESFIBRILADORES EQUIPAMIENTO BARRIO SANTA ISABEL ( PRESUPUESTOS PARTICIPATIVOS 2018)	Ayuntamiento		ASOC . CUIDAE	4317	04/12/2018	Suministros(Menor)
CONSTRUCCIÓN DE 1050 COLUMBARIOS 2018-MANZANAS 109, 110, 120, A-4	Ayuntamiento		GLOBAL-CONSTRUCCION-E-INFRAESTRUCTURA S.L.	198630	04/12/2018	Obras(Abierto Simplificado)
Reposicion Equipos de comunicacion manos libres para uso de equipos portatiles de radio.	Ayuntamiento		CEOTRONICS S.L	14560	03/12/2018	Suministros(Menor)
Obras de ejecucion de pista de patinaje en solar sito en Aldebaran con Orion	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	26900	03/12/2018	Obras(Menor)
NUEVO CENTRO CÍVICO ROSALES DEL CANAL	Ayuntamiento		PROFORMA EJECUCIÓN DE OBRAS Y RESTAURACIONES, S.L.	1046287	03/12/2018	Obras(Abierto)
Suministro de combustibles con destino a edificios y otros equipamientos del Ayuntamiento de Zaragoza	Ayuntamiento		ESERGUI DISTESER S.L.	3305785	30/11/2018	Suministros(Abierto)
ADQUISICION DE EQUIPO ANALIZADOR DE OZONO	Ayuntamiento		SISTEMAS TECNOLÓGICOS AVANZADOS	14700	30/11/2018	Suministros(Menor)
Suministro de material audiovisual en la  Casa Consistorial del Ayuntamiento de Zaragoza	Ayuntamiento		ALBERTO CASAMIAN GUERRERO	8863	29/11/2018	Suministros(Menor)
Adquisicion de 2 Monitores de agua portatil de suelo.	Ayuntamiento		AXATON, S.L	9385	28/11/2018	Suministros(Menor)
Adquisicion 2 juegos de cojines elevacion neumatica.	Ayuntamiento		INDUSTRIAL GLOBAL SUPPLY S.L. 	9519	28/11/2018	Suministros(Menor)
Obras para plantacion de arboles y colocacion de bancos en Lucien Briet prop. municipal	Ayuntamiento		CONSOLIDA OLIVER S.L.	9484	28/11/2018	Obras(Menor)
Adquisicion 2 herramientas hidraulicas de rescate con tecnologia de acoplamiento coaxial plano.	Ayuntamiento		INCIPRESA	9081	28/11/2018	Suministros(Menor)
